filepath,objective,dm,x,y
E:/matt/olympus/DM_offset_data/20190729/4x_DM123_1um_beads.oir,4x,dm2,1.5537014235056,13.2064620997976
E:/matt/olympus/DM_offset_data/20190729/4x_DM123_1um_beads.oir,4x,dm3,-3.10740284701119,6.21480569402238
E:/matt/olympus/DM_offset_data/20190729/4x_DM145_1um_beads.oir,4x,dm4,-6.99165640577518,-13.9833128115504
E:/matt/olympus/DM_offset_data/20190729/4x_DM145_1um_beads.oir,4x,dm5,-6.21480569402238,-12.4296113880448
E:/matt/olympus/DM_offset_data/20190729/10x_DM123_1um_beads.oir,10x,dm2,0.621480569402238,5.28258483991902
E:/matt/olympus/DM_offset_data/20190729/10x_DM123_1um_beads.oir,10x,dm3,-1.24296113880448,2.48592227760895
E:/matt/olympus/DM_offset_data/20190729/10x_DM145_1um_beads.oir,10x,dm4,-2.79666256231007,-5.59332512462014
E:/matt/olympus/DM_offset_data/20190729/10x_DM145_1um_beads.oir,10x,dm5,-2.48592227760895,-4.9718445552179
E:/matt/olympus/DM_offset_data/20190729/20x_DM123_0.5um_beads.oir,20x,dm2,0.155370142350559,2.6412924199595
E:/matt/olympus/DM_offset_data/20190729/20x_DM123_0.5um_beads.oir,20x,dm3,-0.621480569402236,1.24296113880447
E:/matt/olympus/DM_offset_data/20190729/20x_DM145_0.5um_beads.oir,20x,dm4,-1.39833128115503,-2.79666256231006
E:/matt/olympus/DM_offset_data/20190729/20x_DM145_0.5um_beads.oir,20x,dm5,-1.24296113880447,-2.48592227760894
E:/matt/olympus/DM_offset_data/20190729/30x_DM123_0.5um_beads.oir,30x,dm2,0.165728151840596,1.74014559432626
E:/matt/olympus/DM_offset_data/20190729/30x_DM123_0.5um_beads.oir,30x,dm3,-0.41432037960149,0.745776683282682
E:/matt/olympus/DM_offset_data/20190729/30x_DM145_0.5um_beads.oir,30x,dm4,-0.911504835123278,-1.90587374616685
E:/matt/olympus/DM_offset_data/20190729/30x_DM145_0.5um_beads.oir,30x,dm5,-0.745776683282682,-1.65728151840596
E:/matt/olympus/DM_offset_data/20190729/60x_DM123_200nm_beads.oir,60x,dm2,0.069053396600248,0.897694155803224
E:/matt/olympus/DM_offset_data/20190729/60x_DM123_200nm_beads.oir,60x,dm3,-0.207160189800744,0.414320379601488
E:/matt/olympus/DM_offset_data/20190729/60x_DM145_200nm_beads.oir,60x,dm4,-0.483373776201736,-0.966747552403472
E:/matt/olympus/DM_offset_data/20190729/60x_DM145_200nm_beads.oir,60x,dm5,-0.414320379601488,-0.828640759202976
E:/matt/olympus/DM_offset_data/20191216/4x_DM123_4um_beads.oir,4x,dm2,0.776850711752798,13.9833128115504
E:/matt/olympus/DM_offset_data/20191216/4x_DM123_4um_beads.oir,4x,dm3,-3.10740284701119,6.21480569402238
E:/matt/olympus/DM_offset_data/20191216/4x_DM145_4um_beads.oir,4x,dm4,-6.99165640577518,-13.9833128115504
E:/matt/olympus/DM_offset_data/20191216/4x_DM145_4um_beads.oir,4x,dm5,-6.21480569402238,-12.4296113880448
E:/matt/olympus/DM_offset_data/20191216/10x_DM123_4um_beads.oir,10x,dm2,0.310740284701119,5.59332512462014
E:/matt/olympus/DM_offset_data/20191216/10x_DM123_4um_beads.oir,10x,dm3,-1.24296113880448,2.48592227760895
E:/matt/olympus/DM_offset_data/20191216/10x_DM145_4um_beads.oir,10x,dm4,-2.79666256231007,-5.59332512462014
E:/matt/olympus/DM_offset_data/20191216/10x_DM145_4um_beads.oir,10x,dm5,-2.48592227760895,-4.9718445552179
E:/matt/olympus/DM_offset_data/20191216/20x_DM123_1um_beads.oir,20x,dm2,0.155370142350559,2.79666256231006
E:/matt/olympus/DM_offset_data/20191216/20x_DM123_1um_beads.oir,20x,dm3,-0.621480569402236,1.24296113880447
E:/matt/olympus/DM_offset_data/20191216/20x_DM145_1um_beads.oir,20x,dm4,-1.39833128115503,-2.79666256231006
E:/matt/olympus/DM_offset_data/20191216/20x_DM145_1um_beads.oir,20x,dm5,-1.08759099645391,-2.48592227760894
E:/matt/olympus/DM_offset_data/20191216/30x_DM123_1um_beads.oir,30x,dm2,0.165728151840596,1.82300967024656
E:/matt/olympus/DM_offset_data/20191216/30x_DM123_1um_beads.oir,30x,dm3,-0.41432037960149,0.82864075920298
E:/matt/olympus/DM_offset_data/20191216/30x_DM145_1um_beads.oir,30x,dm4,-0.911504835123278,-1.90587374616685
E:/matt/olympus/DM_offset_data/20191216/30x_DM145_1um_beads.oir,30x,dm5,-0.745776683282682,-1.65728151840596
E:/matt/olympus/DM_offset_data/20191216/60x_DM123_500nm_beads.oir,60x,dm2,0.069053396600248,0.897694155803224
E:/matt/olympus/DM_offset_data/20191216/60x_DM123_500nm_beads.oir,60x,dm3,-0.207160189800744,0.414320379601488
E:/matt/olympus/DM_offset_data/20191216/60x_DM145_500nm_beads.oir,60x,dm4,-0.483373776201736,-0.966747552403472
E:/matt/olympus/DM_offset_data/20191216/60x_DM145_500nm_beads.oir,60x,dm5,-0.414320379601488,-0.828640759202976
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads.oir,4x,dm2,1.5537014235056,13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads.oir,4x,dm3,-3.10740284701119,6.21480569402238
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads_0001.oir,4x,dm2,1.5537014235056,13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads_0001.oir,4x,dm3,-3.10740284701119,6.21480569402238
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads_0002.oir,4x,dm2,0.776850711752798,13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads_0002.oir,4x,dm3,-3.10740284701119,6.21480569402238
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads_0003.oir,4x,dm2,1.5537014235056,13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads_0003.oir,4x,dm3,-3.10740284701119,6.21480569402238
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads_0004.oir,4x,dm2,1.5537014235056,13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM123_4um_beads_0004.oir,4x,dm3,-3.10740284701119,6.99165640577518
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads.oir,4x,dm4,-6.99165640577518,-13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads.oir,4x,dm5,-6.21480569402238,-12.4296113880448
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads_0001.oir,4x,dm4,-6.99165640577518,-13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads_0001.oir,4x,dm5,-6.21480569402238,-12.4296113880448
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads_0002.oir,4x,dm4,-6.99165640577518,-13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads_0002.oir,4x,dm5,-6.21480569402238,-12.4296113880448
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads_0003.oir,4x,dm4,-6.99165640577518,-13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads_0003.oir,4x,dm5,-6.21480569402238,-12.4296113880448
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads_0004.oir,4x,dm4,-6.99165640577518,-13.9833128115504
E:/matt/olympus/DM_offset_data/20200102/4x_DM145_4um_beads_0004.oir,4x,dm5,-6.21480569402238,-12.4296113880448
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads.oir,10x,dm2,0.310740284701119,5.28258483991902
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads.oir,10x,dm3,-1.24296113880448,2.48592227760895
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads_0001.oir,10x,dm2,0.310740284701119,5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads_0001.oir,10x,dm3,-1.24296113880448,2.48592227760895
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads_0002.oir,10x,dm2,0.310740284701119,5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads_0002.oir,10x,dm3,-1.24296113880448,2.48592227760895
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads_0003.oir,10x,dm2,0.310740284701119,5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads_0003.oir,10x,dm3,-1.24296113880448,2.48592227760895
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads_0004.oir,10x,dm2,0.310740284701119,5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM123_4um_beads_0004.oir,10x,dm3,-1.24296113880448,2.48592227760895
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads.oir,10x,dm4,-2.79666256231007,-5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads.oir,10x,dm5,-2.17518199290783,-4.9718445552179
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads_0001.oir,10x,dm4,-2.79666256231007,-5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads_0001.oir,10x,dm5,-2.48592227760895,-4.9718445552179
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads_0002.oir,10x,dm4,-2.79666256231007,-5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads_0002.oir,10x,dm5,-2.17518199290783,-4.9718445552179
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads_0003.oir,10x,dm4,-2.79666256231007,-5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads_0003.oir,10x,dm5,-2.48592227760895,-4.9718445552179
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads_0004.oir,10x,dm4,-2.79666256231007,-5.59332512462014
E:/matt/olympus/DM_offset_data/20200102/10x_DM145_4um_beads_0004.oir,10x,dm5,-2.48592227760895,-4.9718445552179
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads.oir,20x,dm2,0.155370142350559,2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads.oir,20x,dm3,-0.621480569402236,1.24296113880447
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads_0001.oir,20x,dm2,0.155370142350559,2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads_0001.oir,20x,dm3,-0.621480569402236,1.24296113880447
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads_0002.oir,20x,dm2,0.310740284701118,2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads_0002.oir,20x,dm3,-0.621480569402236,1.24296113880447
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads_0003.oir,20x,dm2,0.310740284701118,2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads_0003.oir,20x,dm3,-0.621480569402236,1.24296113880447
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads_0004.oir,20x,dm2,0.310740284701118,2.6412924199595
E:/matt/olympus/DM_offset_data/20200102/20x_DM123_1um_beads_0004.oir,20x,dm3,-0.621480569402236,1.24296113880447
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads.oir,20x,dm4,-1.39833128115503,-2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads.oir,20x,dm5,-1.24296113880447,-2.48592227760894
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads_0001.oir,20x,dm4,-1.39833128115503,-2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads_0001.oir,20x,dm5,-1.24296113880447,-2.48592227760894
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads_0002.oir,20x,dm4,-1.39833128115503,-2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads_0002.oir,20x,dm5,-1.24296113880447,-2.48592227760894
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads_0003.oir,20x,dm4,-1.39833128115503,-2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads_0003.oir,20x,dm5,-1.24296113880447,-2.48592227760894
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads_0004.oir,20x,dm4,-1.39833128115503,-2.79666256231006
E:/matt/olympus/DM_offset_data/20200102/20x_DM145_1um_beads_0004.oir,20x,dm5,-1.24296113880447,-2.48592227760894
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads.oir,30x,dm2,0.207160189800746,1.86444170820671
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads.oir,30x,dm3,-0.414320379601492,0.828640759202984
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads_0001.oir,30x,dm2,0.103580094900373,1.76086161330634
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads_0001.oir,30x,dm3,-0.414320379601492,0.828640759202984
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads_0002.oir,30x,dm2,0.103580094900373,1.76086161330634
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads_0002.oir,30x,dm3,-0.414320379601492,0.828640759202984
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads_0003.oir,30x,dm2,0.103580094900373,1.76086161330634
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads_0003.oir,30x,dm3,-0.414320379601492,0.828640759202984
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads_0004.oir,30x,dm2,0.103580094900373,1.76086161330634
E:/matt/olympus/DM_offset_data/20200102/30x_DM123_1um_beads_0004.oir,30x,dm3,-0.414320379601492,0.828640759202984
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads.oir,30x,dm4,-0.932220854103357,-1.86444170820671
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads.oir,30x,dm5,-0.828640759202984,-1.65728151840597
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads_0001.oir,30x,dm4,-0.932220854103357,-1.86444170820671
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads_0001.oir,30x,dm5,-0.828640759202984,-1.65728151840597
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads_0002.oir,30x,dm4,-0.932220854103357,-1.86444170820671
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads_0002.oir,30x,dm5,-0.828640759202984,-1.65728151840597
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads_0003.oir,30x,dm4,-0.932220854103357,-1.86444170820671
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads_0003.oir,30x,dm5,-0.828640759202984,-1.65728151840597
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads_0004.oir,30x,dm4,-0.932220854103357,-1.86444170820671
E:/matt/olympus/DM_offset_data/20200102/30x_DM145_1um_beads_0004.oir,30x,dm5,-0.828640759202984,-1.65728151840597
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads.oir,60x,dm2,0.069053396600248,0.897694155803224
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads.oir,60x,dm3,-0.207160189800744,0.414320379601488
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0001.oir,60x,dm2,0.069053396600248,0.897694155803224
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0001.oir,60x,dm3,-0.207160189800744,0.414320379601488
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0002.oir,60x,dm2,0.069053396600248,0.897694155803224
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0002.oir,60x,dm3,-0.207160189800744,0.34526698300124
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0003.oir,60x,dm2,0.069053396600248,0.897694155803224
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0003.oir,60x,dm3,-0.207160189800744,0.414320379601488
E:/matt/olympus/DM_offset_data/20200102/60x_DM123_500nm_beads_0004.oir,60x,dm2,0.069053396600248,0.897694155803224
