objective,dm,x,y
4x,dm2,0.776850711752798,3.10740284701119
4x,dm3,0.776850711752798,0.776850711752798
4x,dm4,0,0.776850711752798
4x,dm5,0.310740284701119,2.33055213525839
10x,dm2,0.0621480569402238,0.994368911043581
10x,dm3,0.49718445552179,0.124296113880448
10x,dm4,0,0.310740284701119
10x,dm5,0.248592227760895,0.932220854103357
20x,dm2,0.0621480569402236,0.466110427051677
20x,dm3,0.155370142350559,0.155370142350559
20x,dm4,0,0.155370142350559
20x,dm5,0.0932220854103354,0.466110427051677
30x,dm2,0.0414320379601492,0.331456303681194
30x,dm3,0.103580094900373,0.103580094900373
30x,dm4,0,0.103580094900373
30x,dm5,0,0.310740284701119
60x,dm2,0.0138106793200496,0.179538831160645
60x,dm3,0.0552427172801984,0.069053396600248
60x,dm4,-0.0138106793200496,0.0552427172801984
60x,dm5,0.0138106793200496,0.138106793200496
