objective,dm,x,y
4x,dm2,0.621480569402238,3.72888341641343
4x,dm3,5.90406540932127,-5.43795498226959
4x,dm4,-0.310740284701119,1.5537014235056
4x,dm5,0.776850711752798,3.10740284701119
10x,dm2,0.372888341641343,1.49155336656537
10x,dm3,2.54807033454918,-2.29947810678828
10x,dm4,0.310740284701119,0.621480569402238
10x,dm5,0.621480569402238,1.24296113880448
20x,dm2,0.0258950237250932,0.647375593127329
20x,dm3,1.24296113880447,-1.21706611507938
20x,dm4,0,0.310740284701118
20x,dm5,0.155370142350559,0.621480569402236
30x,dm2,0.0414320379601492,0.517900474501865
30x,dm3,0.828640759202984,-0.745776683282686
30x,dm4,0,0.186444170820671
30x,dm5,0.103580094900373,0.414320379601492
60x,dm2,0.0276213586400992,0.262402907080942
60x,dm3,0.414320379601488,-0.400509700281438
60x,dm4,0,0.0828640759202976
60x,dm5,0.069053396600248,0.207160189800744
