objective,dm,x,y
4x,dm2,1.33174407729051,13.8723341384428
4x,dm3,-3.10740284701119,6.32578436712993
4x,dm4,-6.99165640577518,-13.9833128115504
4x,dm5,-6.21480569402238,-12.4296113880448
10x,dm2,0.355131753944136,5.50454218613411
10x,dm3,-1.24296113880448,2.48592227760895
10x,dm4,-2.79666256231007,-5.59332512462014
10x,dm5,-2.39713933912292,-4.9718445552179
20x,dm2,0.221957346215084,2.75227109306704
20x,dm3,-0.621480569402236,1.24296113880447
20x,dm4,-1.39833128115503,-2.79666256231006
20x,dm5,-1.22076540418296,-2.48592227760894
30x,dm2,0.136133839011919,1.78157763228641
30x,dm3,-0.414320379601491,0.816803034071512
30x,dm4,-0.92630199153762,-1.87627943333818
30x,dm5,-0.804965308940041,-1.65728151840597
60x,dm2,0.069053396600248,0.897694155803224
60x,dm3,-0.207160189800744,0.404455608658595
60x,dm4,-0.483373776201736,-0.966747552403472
60x,dm5,-0.414320379601488,-0.828640759202976
